profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
bop_he570_024	fjord experiment	fjordexport_L05	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-150251	uvp6		2021-03-11 15:11:19	60.6675	5.19806	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_024.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_025	fjord experiment	fjordexport_L06	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-171338	uvp6		2021-03-11 17:24:08	60.68028	5.17806	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_025.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_026	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-194436	uvp6	he570_ctd027	2021-03-11 19:53:23	60.69194	5.15444	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_026.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_027	fjord experiment	fjordexport_L08	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210312-132149	uvp6	he570_ctd028	2021-03-12 13:38:47	60.69944	5.12611	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_027.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_028	fjord experiment	fjordexport_L09	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210312-155951	uvp6	he570_ctd029	2021-03-12 16:09:12	60.71083	5.10056	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_028.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_029	fjord experiment	fjordexport_L10	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210312-184909	uvp6	he570_ctd030	2021-03-12 19:12:06	60.71806	5.07278	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_029.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_030	fjord experiment	fjordexport_L11	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210312-212237	uvp6	he570_ctd031	2021-03-12 21:33:08	60.71889	5.06639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_030.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_031	fjord experiment	fjordexport_L11	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210312-223851	uvp6	he570_ctd032	2021-03-12 23:00:52	60.73639	5.01944	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_031.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_032	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210313-072802	uvp6	he570_ctd033	2021-03-13 07:35:35	60.69194	5.15778	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_032.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_033	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210313-133821	uvp6	he570_ctd034	2021-03-13 13:47:23	60.69417	5.14722	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_033.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_034	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210313-170214	uvp6	he570_ctd035	2021-03-13 17:12:40	60.69389	5.15111	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_034.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_035a	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210314-105918	uvp6	he570_ctd036	2021-03-14 11:08:34	60.695	5.14389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_035a.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_035b	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210314-114616	uvp6	he570_ctd036	2021-03-14 11:51:55	60.695	5.14389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_035b.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_035c	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210314-121251	uvp6	he570_ctd036	2021-03-14 12:19:05	60.695	5.14389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_035c.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_035d	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210314-123309	uvp6	he570_ctd036	2021-03-14 12:38:31	60.695	5.14389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_035d.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_036a	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-074441	uvp6	he570_ctd037	2021-03-15 07:56:02	60.69361	5.15389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_036a.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_036b	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-083158	uvp6	he570_ctd037	2021-03-15 08:35:53	60.69361	5.15389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_036b.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_037a	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-105927	uvp6	he570_ctd038	2021-03-15 11:09:49	60.69028	5.15639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_037a.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_037b	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-115402	uvp6	he570_ctd038	2021-03-15 11:59:21	60.69028	5.15639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_037b.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_037c	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-123620	uvp6	he570_ctd038	2021-03-15 12:41:28	60.69028	5.15639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_037c.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_037d	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-132506	uvp6	he570_ctd038	2021-03-15 13:30:21	60.69028	5.15639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_037d.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_038a	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-154238	uvp6	he570_ctd039	2021-03-15 15:59:09	60.69306	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_038a.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_038b	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-164352	uvp6	he570_ctd039	2021-03-15 16:50:08	60.69306	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_038b.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_038c	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-173241	uvp6	he570_ctd039	2021-03-15 17:37:39	60.69306	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_038c.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_039a	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-224900	uvp6	he570_ctd041	2021-03-15 23:08:09	60.69278	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_039a.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_039b	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210315-235011	uvp6	he570_ctd041	2021-03-15 23:55:49	60.69278	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_039b.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_039c	fjord experiment	fjordexport_L07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210316-001928	uvp6	he570_ctd041	2021-03-16 00:25:42	60.69278	5.15306	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_039c.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
