profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
bop_018	sn204_2021_he570	89	Helena Hauss(hhauss@geomar.de)	HDR20210308193046	uvp5	he570_019	2021-03-08 19:30:46	60.87183	5.41617	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_018.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_019	sn204_2021_he570	100	Helena Hauss(hhauss@geomar.de)	HDR20210309164623	uvp5	he570_020	2021-03-09 16:46:23	60.8718	5.41513	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_019.tsv	no data available	uvp5_sn204_2021_he570_filtered
bop_020	sn204_2021_he570	103	Helena Hauss(hhauss@geomar.de)	HDR20210311083729	uvp5	he570_021	2021-03-11 08:37:29	60.6258	5.25307	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_020.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_021	sn204_2021_he570	108	Helena Hauss(hhauss@geomar.de)	HDR20210311101906	uvp5	he570_022	2021-03-11 10:19:06	60.63368	5.23407	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_021.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_022	sn204_2021_he570	111	Helena Hauss(hhauss@geomar.de)	HDR20210311115802	uvp5	he570_023	2021-03-11 11:58:02	60.6424	5.22248	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_022.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_023	sn204_2021_he570	114	Helena Hauss(hhauss@geomar.de)	HDR20210311133101	uvp5	he570_024	2021-03-11 13:31:01	60.65357	5.21397	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_023.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_024	sn204_2021_he570	117	Helena Hauss(hhauss@geomar.de)	HDR20210311151021	uvp5	he570_025	2021-03-11 15:10:21	60.66758	5.19835	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_024.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_025	sn204_2021_he570	121	Helena Hauss(hhauss@geomar.de)	HDR20210311172259	uvp5	he570_026	2021-03-11 17:22:59	60.6804	5.17808	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_025.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_026	sn204_2021_he570	124	Helena Hauss(hhauss@geomar.de)	HDR20210311195229	uvp5	he570_027	2021-03-11 19:52:29	60.69195	5.1545	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_026.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_027	sn204_2021_he570	135	Helena Hauss(hhauss@geomar.de)	HDR20210312133714	uvp5	he570_028	2021-03-12 13:37:14	60.69997	5.12448	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_027.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_028	sn204_2021_he570	138	Helena Hauss(hhauss@geomar.de)	HDR20210312160802	uvp5	he570_029	2021-03-12 16:08:02	60.71105	5.09988	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_028.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_029	sn204_2021_he570	143	Helena Hauss(hhauss@geomar.de)	HDR20210312190937	uvp5	he570_030	2021-03-12 19:09:37	60.71908	5.06637	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_029.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_030	sn204_2021_he570	147	Helena Hauss(hhauss@geomar.de)	HDR20210312213218	uvp5	he570_031	2021-03-12 21:32:18	60.73217	5.03367	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_030.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_031	sn204_2021_he570	151	Helena Hauss(hhauss@geomar.de)	HDR20210312225939	uvp5	he570_032	2021-03-12 22:59:39	60.73648	5.0194	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_031.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_032	sn204_2021_he570	156	Helena Hauss(hhauss@geomar.de)	HDR20210313073439	uvp5	he570_033	2021-03-13 07:34:39	60.69208	5.15772	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_032.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_033	sn204_2021_he570	164	Helena Hauss(hhauss@geomar.de)	HDR20210313134620	uvp5	he570_034	2021-03-13 13:46:20	60.69427	5.14742	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_033.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_034	sn204_2021_he570	169	Helena Hauss(hhauss@geomar.de)	HDR20210313171130	uvp5	he570_035	2021-03-13 17:11:30	60.69398	5.151	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_034.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_035a	sn204_2021_he570	191	Helena Hauss(hhauss@geomar.de)	HDR20210314110729	uvp5	he570_036	2021-03-14 11:07:29	60.69483	5.144	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_035a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_035b	sn204_2021_he570	191	Helena Hauss(hhauss@geomar.de)	HDR20210314115036	uvp5	he570_036	2021-03-14 11:50:36	60.69483	5.144	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_035b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_035c	sn204_2021_he570	191	Helena Hauss(hhauss@geomar.de)	HDR20210314121733	uvp5	he570_036	2021-03-14 12:17:33	60.69483	5.144	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_035c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_035d	sn204_2021_he570	191	Helena Hauss(hhauss@geomar.de)	HDR20210314123719	uvp5	he570_036	2021-03-14 12:37:19	60.69483	5.144	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_035d.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_036a	sn204_2021_he570	208	Helena Hauss(hhauss@geomar.de)	HDR20210315075425	uvp5	he570_039	2021-03-15 07:54:25	60.69367	5.154	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_036a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_036b	sn204_2021_he570	208	Helena Hauss(hhauss@geomar.de)	HDR20210315083654	uvp5	he570_039	2021-03-15 08:36:54	60.69367	5.154	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_036b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_037a	sn204_2021_he570	211	Helena Hauss(hhauss@geomar.de)	HDR20210315111110	uvp5	he570_039	2021-03-15 11:11:10	60.69033	5.1595	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_037a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_037b	sn204_2021_he570	211	Helena Hauss(hhauss@geomar.de)	HDR20210315115759	uvp5	he570_039	2021-03-15 11:57:59	60.69033	5.1595	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_037b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_037c	sn204_2021_he570	211	Helena Hauss(hhauss@geomar.de)	HDR20210315124028	uvp5	he570_039	2021-03-15 12:40:28	60.69033	5.1595	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_037c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_037d	sn204_2021_he570	211	Helena Hauss(hhauss@geomar.de)	HDR20210315132859	uvp5	he570_039	2021-03-15 13:28:59	60.69033	5.1595	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_037d.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_038a	sn204_2021_he570	215	Helena Hauss(hhauss@geomar.de)	HDR20210315155801	uvp5	he570_040	2021-03-15 15:58:01	60.69287	5.1532	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_038a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_038b	sn204_2021_he570	215	Helena Hauss(hhauss@geomar.de)	HDR20210315164849	uvp5	he570_040	2021-03-15 16:48:49	60.69287	5.1532	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_038b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_038c	sn204_2021_he570	215	Helena Hauss(hhauss@geomar.de)	HDR20210315173644	uvp5	he570_040	2021-03-15 17:36:44	60.69287	5.1532	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_038c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_039a	sn204_2021_he570	221	Helena Hauss(hhauss@geomar.de)	HDR20210315230649	uvp5	he570_041	2021-03-15 23:06:49	60.69763	5.1283	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_039a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_039b	sn204_2021_he570	221	Helena Hauss(hhauss@geomar.de)	HDR20210315235406	uvp5	he570_041	2021-03-15 23:54:06	60.69763	5.1283	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_039b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_039c	sn204_2021_he570	221	Helena Hauss(hhauss@geomar.de)	HDR20210316002348	uvp5	he570_041	2021-03-16 00:23:48	60.69763	5.1283	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_039c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
